ID,space_alias_name,space_type,space_category,department_occupied
102,Laboratory,Workshops,Academic - Faculty,Engineering
103,Principal Investigator Office,Office,Academic - Faculty,Mathematics and Statistics
104,ABLUTIONS + TOILETS - SPORTS FITTINGS,Leisure Facilities,Support,Sports Operations
105,Postgraduate Office,Office,Academic - Faculty,Theology and Religion
106,DNA Prep,Specialist Area,Academic - Faculty,Sport and Health Sciences
107,Office,Office,Academic - Faculty,Psychology
108,Store,Storage Space,Support,Security
109,CEMPS Professional  Services Office,Office,Academic - Faculty,Camborne School of Mines
110,Fine Art Store,Storage Space,Support,Library
111,Multiphoton Imaging Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
112,G5 - Storage for Furniture Reuse,Storage Space,Support,Facilities Assistants â€“ Streatham
113,First Aid/Drying Room,Leisure Facilities,Support,Sports Operations
114,Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
115,Physics Computer Laboratory,Computer Room,Academic - Faculty,Physics and Astronomy
116,PGR Office,Office,Academic - Faculty,Psychology
117,Garage,Storage Space,Support,Event Operations
118,ULT Freezer Room,Specialist Area,Academic - Faculty,Sport and Health Sciences
119,Office,Office,Academic - Faculty,Sport and Health Sciences
120,Treatment Room,Specialist Area,Academic - Faculty,Psychology
121,Store,Storage Space,Academic - Faculty,Sport and Health Sciences
122,Store,Storage Space,Support,Sports Operations
123,Academic Office,Office,Academic - Faculty,Engineering
124,V-Sim LT Room,Specialist Area,Academic - Faculty,Engineering
125,IT Storage,Storage Space,Support,IT Services
126,Academic,Office,Academic - Faculty,Law School
127,Centrifuge,Specialist Area,Academic - Faculty,Sport and Health Sciences
128,GTA,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
129,Academic Office,Office,Academic - Faculty,Biosciences
130,Biocatalysis Mass Spec Facility,Specialist Area,Academic - Faculty,Biosciences
131,Sediment Laboratory,Laboratory,Academic - Faculty,Camborne School of Mines
132,Office,Office,Academic - Faculty,Institute of Arab and Islamic Studies
133,Academic,Office,Academic - Faculty,French (ML)
134,Cell Culture Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
135,Academic,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
136,Store,Storage Space,Support,Engineering and Maintenance
137,Microscopy suite,Laboratory,Academic - Faculty,Biosciences
138,Research Laboratory (Clean),Specialist Area,Academic - Faculty,Archaeology
139,Store,Storage Space,Support,IT Services
140,Facilities Operations Manager's Office,Office,Support,Facilities Operations
141,Meeting Room,Office,Support,IT Services
142,Storage,Storage Space,Academic - Faculty,Biosciences
143,Clean Room,Specialist Area,Academic - Faculty,Biosciences
144,Switch,Other Space,Support,IT Services
145,Store 2,Leisure Facilities,Support,Sports Operations
146,Office,Office,Support,Engineering and Maintenance
147,Seminar Room,Seminar Room,Academic - Faculty,Psychology
148,Comms Room,Other Space,Support,IT Services
149,Store,Storage Space,Support,Commercial Residential and Campus Services
150,STORE/CORRIDOR,Leisure Facilities,Support,Sports Operations
151,Syndicate Room,Seminar Room,Academic - Faculty,Politics
152,Academic Office,Office,Academic - Faculty,Camborne School of Mines
153,Savchenko Centre for Nanoscience Clean Room Suite,Specialist Area,Academic - Faculty,Physics and Astronomy
154,Store,Storage Space,Academic - Faculty,Archaeology
155,Dyno Test Cell Area,Workshops,Academic - Faculty,Engineering
156,Optics and Lasers,Specialist Area,Academic - Faculty,Physics and Astronomy
157,Plant Growth Cabinets,Specialist Area,Academic - Faculty,Biosciences
158,Meeting room 1-2-1,Meeting Room,Academic - Faculty,School of Education
159,IT Training Space (SOE),Computer Room,Academic - Faculty,School of Education
160,Store,Storage Space,Support,Facilities Assistants â€“ Streatham
161,UG Computer Lab,Computer Room,Academic - Faculty,Physics and Astronomy
162,Renewable Engineering Lab,Laboratory,Academic - Faculty,Engineering
163,Store,Storage Space,Academic - Faculty,Biosciences
164,Dark Room Microscopy,Specialist Area,Academic - Faculty,Biosciences
165,Experimental Room,Specialist Area,Academic - Faculty,Biosciences
166,Crushing and Grinding Sample Prep Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
167,Control Room,Specialist Area,Academic - Faculty,Psychology
168,BSL Lab - lobby,Specialist Area,Academic - Faculty,Biosciences
169,READERS + BOOKS AREA - 176 READERS,Library,Support,Library
170,Primary Art room,Specialist Area,Academic - Faculty,School of Education
171,Quarantine Holding,Specialist Area,Academic - Faculty,Biosciences
172,Archaeology store,Storage Space,Academic - Faculty,Archaeology
173,Group Study Room,Study Space [PS],Support,Library
174,Academic Office,Office,Academic - Faculty,School of Education
175,STRONG ROOM - STRONG ROOM,Library,Support,Library
176,IT Switch Room,Other Space,Residential,IT Services
177,Control Room,Specialist Area,Academic - Faculty,Drama
178,Hotdesk Space,Office,Academic - Faculty,Psychology
179,Animal Behaviour Lab,Specialist Area,Academic - Faculty,Psychology
180,XRD / XRF Prep,Specialist Area,Academic - Faculty,Camborne School of Mines
181,Technician,Workshops,Support,IT Services
182,Laboratory,Specialist Area,Academic - Faculty,Engineering
183,Teaching Clean Room,Laboratory,Academic - Faculty,Biosciences
184,Sequencing Service Office,Office,Academic - Faculty,Biosciences
185,Cellar,Storage Space,Support,Commercial Residential and Campus Services
186,Functional Materials Research Laboratory,Specialist Area,Academic - Faculty,Engineering
187,Staff Study/Research,Office,Academic - Faculty,Psychology
188,Special Microscopy,Specialist Area,Academic - Faculty,Biosciences
189,Thornton West Suite Ante-Room,Meeting Room,Support,Event Operations
190,Teaching Lab Office,Office,Academic - Faculty,Biosciences
191,Prep Lab,Laboratory,Academic - Faculty,Biosciences
192,Write Up Space,Specialist Area,Academic - Faculty,Physics and Astronomy
193,Syndicate 'Goldfish Bowl' Room,Seminar Room,Academic - Faculty,Politics
194,LSI Board Room,Meeting Room,Academic - Faculty,Physics and Astronomy
195,Group Study Space 2,Study Space [PS],Support,Library
196,10C Cold Room / Lobby,Specialist Area,Academic - Faculty,Biosciences
197,Cricket National Governing Body Office,Leisure Facilities,Support,Sports Operations
198,Rest Room,Social Space,Support,Engineering and Maintenance
199,Meeting Room,Meeting Room,Academic - Faculty,Physics and Astronomy
200,"CALM, X-AT Meeting Room",Meeting Room,Academic - Faculty,Engineering
201,Amory Study Centre Group Work,Study Space [PS],Support,Library
202,PG Seminar / Write Up,Office,Academic - Faculty,Biosciences
203,Student Records,Office,Support,Education Services
204,Dark Room,Storage Space,Academic - Faculty,School of Education
205,Academic,Office,Academic - Faculty,Human Geography
206,Postgraduate Office Space,Office,Academic - Faculty,Physics and Astronomy
207,IT Suite,Office,Support,IT Services
208,Reception,Office,Academic - Faculty,Psychology
209,Store,Storage Space,Academic - Faculty,Psychology
210,3D Printer Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
211,Library Stack,Library,Support,Library
212,Store (marked Test Library),Storage Space,Academic - Faculty,Psychology
213,Storage,Storage Space,Academic - Faculty,History
214,Office 14,Office,Academic - Faculty,Drama
215,Network Team,Office,Support,IT Services
216,Class 4 Laser Lab 1,Specialist Area,Academic - Faculty,Physics and Astronomy
217,Store,Storage Space,Support,Education Services
218,Teaching Laboratory (Bones),Specialist Area,Academic - Faculty,Archaeology
219,Store room,Storage Space,Academic - Faculty,School of Education
220,Team Change 2,Leisure Facilities,Support,Sports Operations
221,Staff Office,Office,Support,Legal and Contracts
222,STAFF OFFICE,Library,Support,Library
223,Store,Storage Space,Academic - Faculty,Engineering
224,Hot Desk Office,Office,Academic - Faculty,School of Education
225,Sample Preparation Lab - Stephen Pendray,Specialist Area,Academic - Faculty,Camborne School of Mines
226,RECEPTION,Leisure Facilities,Support,Sports Operations
227,PGR desks,Office,Academic - Faculty,School of Education
228,"Changing Room (showers, toilets)",Leisure Facilities,Support,Sports Operations
229,POLITICS - academic,Office,Academic - Faculty,Politics
230,Anechoic Chamber,Specialist Area,Academic - Faculty,Physics and Astronomy
231,Reception,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
232,Shed with Comfort Controls,Specialist Area,Academic - Faculty,Biosciences
233,Wet Chemistry Lab/Clean Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
234,Geotechnics Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
235,Workshop,Workshops,Academic - Faculty,Psychology
236,PGR Meeting Room,Meeting Room,Academic - Faculty,Psychology
237,Freezer Room (-80C),Specialist Area,Academic - Faculty,Biosciences
238,The Laura Piper Room,Study Space [PS],Support,Library
239,PGR desks,Office,Academic - Faculty,Institute of Arab and Islamic Studies
240,"IT Workshop, store",Workshops,Support,IT Services
241,Research Fellows,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
242,Informal Meeting Space,Meeting Room,Academic - Faculty,"Sociology, Philosophy and Anthropology"
243,Research Labs,Specialist Area,Academic - Faculty,Physics and Astronomy
244,PS Support Office,Office,Academic - Faculty,Physics and Astronomy
245,"Studio 3 - Studio - Lighting, Sound",Specialist Area,Academic - Faculty,Drama
246,Research Laboratory,Specialist Area,Academic - Faculty,Biosciences
247,Store,Storage Space,Academic - Faculty,Institute of Arab and Islamic Studies
248,PGR study space,Office,Academic - Faculty,School of Education
249,Laboratory,Laboratory,Academic - Faculty,Engineering
250,QEMSCAN,Specialist Area,Academic - Faculty,Camborne School of Mines
251,PHD/PostDoc Office,Office,Academic - Faculty,Biosciences
252,Store,Storage Space,Support,Accommodation Office
253,Meeting Room,Meeting Room,Academic - Faculty,Psychology
254,FLC Support,Office,Academic - Faculty,Foreign Language Centre
255,Biocatalysis Office,Office,Academic - Faculty,Biosciences
256,EGD Office,Office,Support,Student Employability and Academic Success
257,Exeter Sequencing Service,Specialist Area,Academic - Faculty,Biosciences
258,St Luke's Facilities Assistants Team,Office,Support,Facilities Assistants â€“ St Lukeâ€™s
259,EQUIP. + ST. STORE,Library,Support,Library
260,STUDIO WH2,Specialist Area,Academic - Faculty,Drama
261,Prep Area Electron Microscope,Specialist Area,Academic - Faculty,Biosciences
262,Meeting Room,Meeting Room,Academic - Faculty,Biosciences
263,FM Office - Hot Desk,Office,Support,Facilities Operations
264,ELECTRICIANS WRKSHP,Workshops,Support,Engineering and Maintenance
265,Consumables Store,Storage Space,Academic - Faculty,Biosciences
266,Research Office,Office,Academic - Faculty,Physics and Astronomy
267,Staff Room,Leisure Facilities,Support,Sports Operations
268,Research Workstations,Computer Room,Academic - Faculty,Biosciences
269,Research Laboratory,Laboratory,Academic - Faculty,Biosciences
270,Group Treatment Room,Specialist Area,Academic - Faculty,Psychology
271,AV/IT store and office,Office,Support,IT Services
272,Zebra Fish Holding Room,Specialist Area,Academic - Faculty,Biosciences
273,STUDIO WH3,Specialist Area,Academic - Faculty,Drama
274,Tissue Culture,Specialist Area,Academic - Faculty,Biosciences
275,Sensory Ecology Research Room,Specialist Area,Academic - Faculty,Biosciences
276,Student Self Serve area,Study Space [PS],Support,Library
277,Prep room,Laboratory,Academic - Faculty,Biosciences
278,Clinical Teaching/Interview Room,Seminar Room,Academic - Faculty,Psychology
279,Music Rehearsal,Specialist Area,Academic - Faculty,School of Education
280,Data Room,Storage Space,Academic - Faculty,Archaeology
281,PhD Room,Office,Academic - Faculty,Politics
282,Academic - History,Office,Academic - Faculty,History
283,Director of IAIS,Office,Academic - Faculty,Institute of Arab and Islamic Studies
284,Listening Booth,Library,Support,Library
285,Female Changing Room,Specialist Area,Academic - Faculty,Drama
286,PhD Meeting Room,Meeting Room,Academic - Faculty,Physics and Astronomy
287,Magnetic Material Laser Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
288,Clinical experiment lab,Laboratory,Academic - Faculty,Psychology
289,Dimmer Room,Specialist Area,Academic - Faculty,Drama
290,Study Room 1,Social Space,Academic - Faculty,Foreign Language Centre
291,Project Room,Office,Academic - Faculty,Archaeology
292,EGD Training Room,Seminar Room,Support,Student Employability and Academic Success
293,Researchers/Visitors,Office,Academic - Faculty,School of Education
294,BIBLIOGRAPHY + CATALOGUES,Library,Support,Library
295,Meeting Room,Meeting Room,Academic - Faculty,History
296,The Stuart Handley Teaching Laboratory,Specialist Area,Academic - Faculty,Physics and Astronomy
297,University Print Services,Retail Outlets,Support,Retail
298,Clinical Teaching Room,Seminar Room,Academic - Faculty,Psychology
299,Tissue Culture Room,Specialist Area,Academic - Faculty,Biosciences
300,Annexe A Fish Laboratory,Specialist Area,Academic - Faculty,Psychology
301,Bone Store,Storage Space,Academic - Faculty,Archaeology
302,Cold Room,Specialist Area,Academic - Faculty,Biosciences
303,Chemical Preparation Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
304,BOOKSTACK +READERS AREA - 138 READER,Library,Support,Library
305,PGR desks,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
306,Office,Office,Academic - Faculty,Engineering
307,History Office,Office,Academic - Faculty,History
308,Microscopy 1,Specialist Area,Academic - Faculty,Biosciences
309,Post Doc Office,Office,Academic - Faculty,Computer Science
310,PC Cluster,Teaching/PC Cluster [PS],Support,Library
311,Wellbeing/Quiet room,Social Space,Academic - Faculty,School of Education
312,Post Graduate Study PC cluster,Computer Room,Academic - Faculty,Institute of Arab and Islamic Studies
313,REFEREES ROOM,Leisure Facilities,Support,Sports Operations
314,Main Office,Office,Support,IT Services
315,PhD Office,Office,Academic - Faculty,Physics and Astronomy
316,L. GYM. STORE,Leisure Facilities,Support,Sports Operations
317,Lab Prep Room,Specialist Area,Academic - Faculty,Biosciences
318,Weston Blot,Specialist Area,Academic - Faculty,Sport and Health Sciences
319,Laboratory,Storage Space,Academic - Faculty,Engineering
320,Room 1,Laboratory,Academic - Faculty,Biosciences
321,Technician Office,Office,Academic - Faculty,Engineering
322,Worm Laboratory,Specialist Area,Academic - Faculty,Sport and Health Sciences
323,Sporulating Fungal Lab,Specialist Area,Academic - Faculty,Biosciences
324,Laser Lab,Office,Academic - Faculty,Physics and Astronomy
325,STORE,Library,Support,Library
326,Academic - History (Heritage Studies),Office,Academic - Faculty,History
327,Scanning Electron Microscope,Specialist Area,Academic - Faculty,Biosciences
328,"Microscopy suite , Confocal",Specialist Area,Academic - Faculty,Biosciences
329,Workshop,Specialist Area,Academic - Faculty,Drama
330,Undergraduate Education Office,Office,Academic - Faculty,Psychology
331,Chemical Store,Storage Space,Academic - Faculty,School of Education
332,Growth Room,Specialist Area,Academic - Faculty,Biosciences
333,Fridge,Central Catering,Support,Event Operations
334,Server Room,Other Space,Support,IT Services
335,Molecular Biology Lab,Specialist Area,Academic - Faculty,Biosciences
336,Teaching Washing Up Room,Laboratory,Academic - Faculty,Biosciences
337,V-Sim Control Room,Specialist Area,Academic - Faculty,Engineering
338,Store,Storage Space,Academic - Faculty,"Sociology, Philosophy and Anthropology"
339,Groundsman Store,Leisure Facilities,Support,Sports Operations
340,Wet Lab,Specialist Area,Academic - Faculty,Sport and Health Sciences
341,Audio Visual Control Room,Specialist Area,Academic - Faculty,Psychology
342,Preparation & Waste Lab,Laboratory,Academic - Faculty,Biosciences
343,Changing Cubicle,Leisure Facilities,Support,Sports Operations
344,Facilities Store,Storage Space,Support,Facilities Operations
345,Academic Office,Office,Academic - Faculty,Drama
346,Cognitive Neurophysiology Lab,Specialist Area,Academic - Faculty,Psychology
347,Staff Office,Office,Support,Student Employability and Academic Success
348,Lobby,Laboratory,Academic - Faculty,Biosciences
349,MR1 Store,Storage Space,Academic - Faculty,Drama
350,Presentation Room,Library,Support,Library
351,Academic Office,Office,Academic - Faculty,Computer Science
352,APPLE TAXIS Toilet,Retail Outlets,Support,Commercial Operations
353,Nanoscience Office,Office,Academic - Faculty,Physics and Astronomy
354,Meeting/Seminar Room,Seminar Room,Academic - Faculty,School of Education
355,Hailey Room,Storage Space,Support,Event Operations
356,Breakout Space,Social Space,Academic - Faculty,Physics and Astronomy
357,Muslim Prayer Room - Female,Other Space,Academic - Faculty,School of Education
358,Cryo Store,Specialist Area,Academic - Faculty,Biosciences
359,Crystallisation Lab,Specialist Area,Academic - Faculty,Biosciences
360,Office Lecturer (Law),Office,Academic - Faculty,Politics
361,Locker Room,Storage Space,Support,Engineering and Maintenance
362,Class 4 Laser Lab 3,Specialist Area,Academic - Faculty,Physics and Astronomy
363,Containers with environmental controls,Specialist Area,Academic - Faculty,Biosciences
364,Holding Area 1,Storage Space,Academic - Faculty,School of Education
365,Biomechanics Laboratory,Specialist Area,Academic - Faculty,Sport and Health Sciences
366,Experimental Archaeology Lab,Specialist Area,Academic - Faculty,Archaeology
367,Office,Office,Support,IT Services
368,Cage Wash/Prep,Specialist Area,Academic - Faculty,Biosciences
369,Desktop Support,Office,Support,IT Services
370,Lobby to Meeting Room,Meeting Room,Academic - Faculty,"Sociology, Philosophy and Anthropology"
371,Clean Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
372,Let to Tenants - INTO,Balance Space,Other,Commercial Operations
373,Tissue Culture Lab 1,Specialist Area,Academic - Faculty,Biosciences
374,Landing Room,Storage Space,Academic - Faculty,Politics
375,Meeting Room,Meeting Room,Academic - Faculty,Computer Science
376,PhD study space,Study Space,Academic - Faculty,Politics
377,Upper Floor Storage,Storage Space,Support,Facilities Assistants â€“ Streatham
378,Academic,Office,Academic - Faculty,Russian (ML)
379,Quiet Study Area/Common Room,Study Space,Academic - Faculty,Physics and Astronomy
380,Office 3 Academic,Office,Academic - Faculty,Drama
381,FLC academics,Office,Academic - Faculty,Foreign Language Centre
382,Acoustics,Specialist Area,Academic - Faculty,Physics and Astronomy
383,Research/Seminar Room,Seminar Room,Academic - Faculty,Psychology
384,Accessible Study room,Study Space [PS],Support,Library
385,Cognition Lab A,Specialist Area,Academic - Faculty,Psychology
386,TEMPORARY RESERVE,Library,Support,Library
387,Laser Room / Laser Lab,Specialist Area,Academic - Faculty,Biosciences
388,CHANGING AREA,Leisure Facilities,Support,Sports Operations
389,Bootwash / Store,Laboratory,Academic - Faculty,Biosciences
390,Academic,Office,Academic - Faculty,German (ML)
391,Laboratory,Laboratory,Academic - Faculty,Biosciences
392,NORTH READING RM,Library,Support,Library
393,Store,Storage Space,Academic - Faculty,Drama
394,Reception,Office,Support,Facilities Operations
395,Library Level -1 Group Work room 2,Study Space [PS],Support,Library
396,Office 11,Office,Academic - Faculty,Drama
397,Research Office,Office,Academic - Faculty,Archaeology
398,Forum Library IT Stores,Storage Space,Support,IT Services
399,Video Teleconference Room,Specialist Area,Academic - Faculty,Psychology
400,Meeting Space,Meeting Room,Academic - Faculty,Psychology
401,Airlock,Specialist Area,Academic - Faculty,Physics and Astronomy
402,Comms cupboard,Other Space,Support,IT Services
403,Structures / Concrete CTRL Rm,Specialist Area,Academic - Faculty,Engineering
404,Dept. Manager's Office,Office,Academic - Faculty,Psychology
405,Office,Office,Support,Grounds Services
406,Common Room,Social Space,Academic - Faculty,Institute of Arab and Islamic Studies
407,EMPS Office 6,Office,Academic - Faculty,Engineering
408,Teaching Confocal Microscope,Specialist Area,Academic - Faculty,Biosciences
409,Exercise & Sports Psychology Lab,Specialist Area,Academic - Faculty,Sport and Health Sciences
410,Renewable Engineering Lab,Specialist Area,Academic - Faculty,Engineering
411,Research Lab,Laboratory,Academic - Faculty,Biosciences
412,Cognition Lab C,Specialist Area,Academic - Faculty,Psychology
413,Primary Base Store,Storage Space,Academic - Faculty,School of Education
414,Estate Patrol Common Room,Social Space,Support,Security
415,Changing Room,Specialist Area,Academic - Faculty,Biosciences
416,Laboratory,Laboratory,Academic - Faculty,Psychology
417,Lab,Laboratory,Academic - Faculty,Sport and Health Sciences
418,Chemical Preparation,Specialist Area,Academic - Faculty,Biosciences
419,Staff Meeting room,Meeting Room,Academic - Faculty,Drama
420,Fungal Biotechnology,Specialist Area,Academic - Faculty,Biosciences
421,Grounds Office,Office,Support,Grounds Services
422,CSM Museum,Other Space,Academic - Faculty,Camborne School of Mines
423,EXHIBITION AREA,Library,Support,Library
424,Office,Office,Support,Helpdesk
425,Magneto-Optics and Magnetisation Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
426,STORE CORRIDOR 2,Leisure Facilities,Support,Sports Operations
427,Research Assistants Office,Office,Academic - Faculty,School of Education
428,Hot desking for visitors,Office,Academic - Faculty,History
429,Lab Technician Office,Office,Academic - Faculty,Physics and Astronomy
430,Office,Office,Academic - Faculty,Politics
431,Team Change 4,Leisure Facilities,Support,Sports Operations
432,Office,Workshops,Support,IT Services
433,SSI Reception,Office,Academic - Faculty,Politics
434,"CALM, X-AT Office",Office,Academic - Faculty,Engineering
435,Research Lab,Specialist Area,Academic - Faculty,Archaeology
436,REFEREES ROOM - SPORTS FITTINGS,Leisure Facilities,Support,Sports Operations
437,Materials Teaching Laboratory,Specialist Area,Academic - Faculty,Engineering
438,Renewable Energy Power Lab,Specialist Area,Academic - Faculty,Engineering
439,Strong Room,Storage Space,Support,Library
440,Garden Room,Meeting Room,Support,Event Operations
441,Site Recovery Comms,Other Space,Support,IT Services
442,Microbeam Prep Lab - Sharon Uren,Laboratory,Academic - Faculty,Camborne School of Mines
443,PGR/Post Doc Office,Office,Academic - Faculty,Mathematics and Statistics
444,Research Office,Meeting Room,Academic - Faculty,Biosciences
445,Accommodation Office,Office,Support,Accommodation Office
446,ISSUE OFFICE,Library,Support,Library
447,Storage - Seminar,Library,Support,Library
448,PERIODICALS STORE,Library,Support,Library
449,Technician's Office,Office,Academic - Faculty,Sport and Health Sciences
450,Test Cubicle suite,Specialist Area,Academic - Faculty,Psychology
451,PGR Hotdesk Space,Office,Academic - Faculty,Psychology
452,Reed Hall Kitchens,Central Catering,Support,Event Operations
453,PGR / Post Doc Office,Office,Academic - Faculty,Computer Science
454,Academic Office,Office,Academic - Faculty,Politics
455,Indoor Tennis Centre,Leisure Facilities,Support,Sports Operations
456,Research Team Office,Office,Academic - Faculty,Psychology
457,Dry Store,Central Catering,Support,Event Operations
